thread_count,worst_single_10,worst_single_100,worst_multi_10,worst_multi_100,random_single_10,random_single_100,random_multi_10,random_multi_100,no_parents_10,no_parents_100
1,5.013,5.051,5.005,5.055,5.006,5.051,5.006,5.052,5.005,5.051
2,5.006,5.051,5.006,5.055,2.912,2.537,2.73,2.709,2.548,2.525
3,5.005,5.052,5.005,5.056,2.548,1.716,1.73,2.648,1.73,1.684
4,5.005,5.051,5.006,5.055,2.185,1.382,2.367,2.087,1.366,1.264
5,5.006,5.051,5.006,5.055,2.367,1.13,2.64,2.475,1.091,1.094
6,5.005,5.052,5.005,5.056,3.095,0.98,3.458,2.682,0.982,1.008
7,5.006,5.051,5.006,5.055,2.549,0.888,2.639,1.958,0.91,0.949
8,5.005,5.051,5.006,5.055,2.185,0.954,2.458,2.112,0.911,0.952
9,5.006,5.052,5.005,5.067,3.094,0.8,2.366,2.627,0.911,0.949
10,5.006,5.051,5.006,5.056,2.639,0.917,3.914,2.394,0.91,0.915
11,5.005,5.052,5.005,5.055,2.367,0.858,2.184,2.772,0.91,0.916
12,5.006,5.051,5.005,5.056,1.82,0.931,3.095,2.491,0.91,0.938
13,5.005,5.052,5.005,5.056,2.73,0.949,2.185,2.569,0.91,0.924
14,5.006,5.052,5.006,5.056,2.912,0.786,3.277,2.557,0.91,0.881
15,5.005,5.052,5.005,5.055,2.276,0.876,3.094,2.864,0.91,0.873
16,5.005,5.052,5.006,5.056,3.64,0.851,2.548,2.182,0.91,0.864
17,5.006,5.052,5.005,5.058,2.731,0.837,3.276,2.612,0.91,0.887
18,5.006,5.052,5.005,5.057,2.458,0.965,2.184,2.534,0.911,0.912
19,5.006,5.052,5.006,5.056,2.548,0.853,2.822,2.528,0.911,0.907
20,5.006,5.055,5.006,5.056,2.548,0.882,2.548,2.737,0.91,0.917
21,5.006,5.051,5.006,5.055,1.73,0.915,2.185,2.18,0.91,0.9
22,5.005,5.052,5.006,5.056,2.731,0.807,1.639,2.419,0.911,0.929
23,5.005,5.052,5.005,5.056,2.094,0.865,3.367,2.582,0.91,0.911
24,5.005,5.053,5.006,5.056,3.094,0.815,2.094,2.388,0.91,0.922
25,5.006,5.051,5.005,5.056,2.276,0.831,1.456,2.697,0.911,0.899
26,5.006,5.052,5.006,5.056,2.639,0.914,2.275,2.424,0.91,0.92
27,5.006,5.052,5.006,5.055,2.913,0.879,3.731,2.653,0.91,0.891
28,5.006,5.052,5.006,5.056,2.912,0.873,3.367,2.16,0.91,0.955
29,5.006,5.052,5.005,5.056,2.731,0.999,1.911,2.572,0.911,0.935
30,5.019,5.052,5.005,5.056,1.638,0.842,2.367,2.61,0.911,0.938
31,5.007,5.051,5.005,5.057,2.73,0.903,2.458,2.214,0.91,0.933
32,5.006,5.051,5.006,5.055,2.554,0.788,2.003,2.184,0.91,0.918
33,5.019,5.052,5.006,5.056,3.094,0.974,2.913,2.817,0.91,0.909
34,5.006,5.051,5.007,5.055,2.548,0.905,1.456,1.976,0.91,0.848
35,5.007,5.051,5.006,5.055,1.912,0.836,2.822,2.66,0.91,0.958
36,5.02,5.051,5.006,5.057,1.823,0.91,1.639,2.723,0.91,0.921
37,5.006,5.051,5.006,5.056,2.008,0.969,2.731,2.328,0.91,0.915
38,5.009,5.055,5.005,5.055,2.094,0.894,2.275,2.773,0.911,0.904
39,5.006,5.053,5.006,5.056,1.73,0.917,2.912,2.548,0.91,0.902
40,5.006,5.053,5.006,5.056,1.82,0.858,2.094,2.37,0.91,0.903
41,5.006,5.052,5.006,5.056,2.275,0.896,2.276,2.437,0.91,0.89
42,5.006,5.051,5.006,5.057,2.821,0.817,2.276,2.28,0.911,0.94
43,5.007,5.052,5.006,5.056,2.548,0.969,2.185,2.309,0.91,0.965
44,5.007,5.054,5.007,5.056,3.095,0.889,4.096,2.218,0.911,0.9
45,5.006,5.052,5.006,5.057,3.004,1.115,2.276,2.588,0.91,0.909
46,5.006,5.052,5.006,5.056,2.458,0.922,2.093,2.291,0.911,0.848
47,5.006,5.062,5.006,5.056,2.275,0.972,2.913,2.666,0.91,0.93
48,5.006,5.053,5.006,5.056,2.639,0.97,3.277,2.404,0.911,0.898
49,5.006,5.052,5.007,5.056,2.457,0.929,2.095,2.146,0.911,0.931
50,5.006,5.051,5.006,5.056,2.731,0.933,2.822,2.311,0.91,0.929
51,5.007,5.052,5.006,5.056,3.186,0.875,2.912,2.598,0.911,0.878
52,5.006,5.053,5.006,5.056,3.458,0.896,2.913,2.57,0.91,0.917
53,5.007,5.052,5.006,5.058,2.912,0.856,2.05,2.093,0.911,0.898
54,5.007,5.051,5.007,5.056,4.004,0.938,2.822,2.279,0.91,0.924
55,5.006,5.052,5.006,5.056,2.368,0.867,2.822,2.439,0.911,0.934
56,5.006,5.052,5.006,5.059,2.369,0.879,1.912,2.387,0.911,0.895
57,5.006,5.052,5.006,5.057,2.913,0.868,2.55,2.665,0.91,0.907
58,5.006,5.053,5.006,5.057,2.821,0.851,2.003,2.314,0.912,0.85
59,5.007,5.051,5.006,5.057,2.823,0.87,3.823,2.515,0.911,0.947
60,5.006,5.052,5.006,5.056,2.101,0.91,4.096,2.294,0.91,0.907
61,5.006,5.051,5.006,5.057,1.864,0.889,2.003,2.335,0.91,0.968
62,5.007,5.052,5.006,5.056,2.276,0.844,2.822,2.682,0.91,0.888
63,5.006,5.052,5.006,5.059,2.458,0.833,2.731,2.21,0.91,0.946
