thread_count,worst_single_10,worst_single_100,worst_multi_10,worst_multi_100,random_single_10,random_single_100,random_multi_10,random_multi_100,no_parents_10,no_parents_100
1,5.009,5.052,5.006,5.055,5.006,5.051,5.005,5.051,5.006,5.05
2,5.005,5.051,5.005,5.054,2.913,2.557,2.64,2.998,2.549,2.525
3,5.005,5.051,5.006,5.056,3.003,1.717,2.366,2.313,1.73,1.684
4,5.021,5.052,5.005,5.055,1.547,1.39,1.912,2.838,1.365,1.264
5,5.007,5.051,5.006,5.055,3.458,1.208,2.912,2.716,1.084,1.127
6,5.006,5.051,5.005,5.054,1.911,1.112,2.639,2.676,0.99,0.987
7,5.018,5.051,5.006,5.054,2.458,0.831,2.457,2.83,0.911,0.939
8,5.006,5.051,5.006,5.055,2.821,0.869,3.276,2.588,0.91,0.912
9,5.006,5.052,5.005,5.055,2.275,0.854,3.095,2.653,0.91,0.913
10,5.019,5.051,5.005,5.054,3.367,0.91,3.095,2.303,0.91,0.943
11,5.006,5.053,5.005,5.055,2.185,0.852,2.003,2.041,0.91,0.921
12,5.007,5.051,5.005,5.056,2.002,0.921,2.821,2.058,0.91,0.904
13,5.006,5.051,5.006,5.054,3.277,0.91,2.276,2.361,0.91,0.94
14,5.018,5.051,5.006,5.054,2.275,0.893,2.549,2.142,0.91,0.906
15,5.006,5.051,5.005,5.056,3.094,0.943,3.276,2.34,0.911,0.905
16,5.006,5.051,5.006,5.055,2.185,0.789,3.003,2.939,0.91,0.944
17,5.018,5.051,5.006,5.06,2.548,0.886,2.912,2.493,0.91,0.937
18,5.006,5.051,5.006,5.055,2.457,0.833,2.094,2.798,0.911,0.917
19,5.006,5.051,5.006,5.055,1.365,0.826,1.73,2.171,0.91,0.942
20,5.017,5.052,5.005,5.055,2.731,0.859,2.094,2.243,0.91,0.886
21,5.006,5.051,5.006,5.054,2.548,0.897,2.639,2.582,0.911,0.927
22,5.005,5.051,5.006,5.056,2.094,0.877,2.094,2.243,0.91,0.911
23,5.017,5.051,5.006,5.055,2.457,0.889,1.82,2.604,0.911,0.904
24,5.006,5.052,5.006,5.055,2.275,0.897,3.276,2.289,0.91,0.95
25,5.006,5.051,5.006,5.054,2.73,0.921,3.276,2.464,0.91,0.928
26,5.018,5.052,5.006,5.057,2.185,0.89,4.096,2.491,0.911,0.943
27,5.006,5.051,5.006,5.055,2.184,0.859,2.73,2.623,0.911,0.906
28,5.006,5.051,5.006,5.055,2.366,0.914,2.457,2.032,0.91,0.907
29,5.02,5.052,5.005,5.055,2.184,0.871,2.457,2.221,0.911,0.904
30,5.006,5.052,5.007,5.055,3.004,1.039,2.548,2.246,0.91,0.941
31,5.007,5.051,5.006,5.055,2.457,0.882,2.094,2.297,0.91,0.927
32,5.018,5.052,5.006,5.055,2.275,0.92,3.186,2.44,0.91,0.914
33,5.007,5.051,5.007,5.056,3.276,0.897,2.276,2.458,0.911,0.89
34,5.007,5.052,5.006,5.055,2.73,0.821,2.002,2.567,0.91,0.953
35,5.018,5.051,5.005,5.055,2.731,0.849,2.367,2.121,0.91,0.906
36,5.006,5.051,5.006,5.054,2.73,0.868,2.367,2.767,0.91,0.933
37,5.006,5.052,5.005,5.054,2.913,0.958,3.732,2.326,0.91,0.938
38,5.018,5.052,5.006,5.055,2.185,0.898,2.822,1.973,0.91,0.933
39,5.007,5.053,5.006,5.055,3.095,0.829,3.458,2.71,0.911,0.915
40,5.007,5.051,5.006,5.054,1.729,0.976,1.275,2.861,0.91,0.915
41,5.018,5.053,5.006,5.055,2.913,0.955,2.639,2.277,0.911,0.902
42,5.006,5.051,5.006,5.055,3.64,0.9,2.682,2.739,0.91,0.89
43,5.007,5.051,5.007,5.055,2.821,0.87,2.367,2.278,0.91,0.893
44,5.017,5.052,5.006,5.055,2.367,0.886,1.288,2.133,0.91,0.898
45,5.007,5.052,5.006,5.055,1.912,0.89,1.638,2.147,0.911,0.912
46,5.008,5.052,5.005,5.054,2.093,0.812,1.821,2.502,0.911,0.897
47,5.018,5.052,5.006,5.055,1.274,0.835,1.729,2.357,0.911,0.909
48,5.006,5.051,5.006,5.055,2.458,0.843,2.185,2.245,0.911,0.942
49,5.007,5.052,5.005,5.055,3.187,0.879,1.82,2.343,0.91,0.945
50,5.019,5.052,5.006,5.056,3.003,1.016,2.367,2.662,0.91,0.93
51,5.006,5.052,5.006,5.055,2.367,0.921,2.912,2.363,0.911,0.933
52,5.006,5.051,5.006,5.055,2.548,0.958,2.184,2.804,0.911,0.909
53,5.018,5.053,5.006,5.056,3.641,0.896,1.911,2.469,0.91,0.892
54,5.007,5.051,5.006,5.056,2.094,0.904,1.73,2.53,0.91,0.894
55,5.006,5.051,5.006,5.055,2.822,1.024,2.185,2.36,0.91,0.933
56,5.017,5.052,5.006,5.055,2.913,0.888,2.731,2.675,0.911,0.947
57,5.007,5.051,5.006,5.054,3.004,0.939,2.822,2.397,0.911,0.884
58,5.007,5.051,5.007,5.055,2.641,0.813,2.458,2.446,0.91,0.926
59,5.018,5.053,5.006,5.056,1.911,0.852,2.639,2.326,0.91,0.947
60,5.006,5.052,5.006,5.056,1.912,0.821,3.003,2.574,0.91,0.903
61,5.007,5.051,5.006,5.057,3.095,0.883,2.276,2.342,0.91,0.943
62,5.018,5.052,5.006,5.057,2.913,0.87,2.731,2.57,0.91,0.95
63,5.007,5.052,5.006,5.055,3.004,0.905,1.911,2.418,0.91,0.935
